image_path,model_name
dataset/000/0000.jpg,"Stüdyo çekimi bir Honda Civic sedan, ön."
dataset/000/0001.jpg,Honda Civic sedan aracının ön görünümü.
dataset/000/0003.jpg,"Yüksek çözünürlüklü bir Honda Civic sedan resmi, ön açısından çekilmiş."
dataset/000/0004.jpg,"Stüdyo çekimi bir Honda Civic sedan, ön."
dataset/000/0006.jpg,Honda Civic sedan aracının ön görünümü.
dataset/000/0007.jpg,Honda Civic sedan aracının ön görünümü.
dataset/000/0009.jpg,"Bu bir Honda Civic sedan, ön perspektifinden."
dataset/000/0010.jpg,"Bu bir Honda Civic sedan, ön perspektifinden."
dataset/000/0012.jpg,"Stüdyo çekimi bir Honda Civic sedan, ön."
dataset/000/0013.jpg,"Bu bir Honda Civic sedan, ön perspektifinden."
dataset/000/0015.jpg,"Bir Honda Civic sedan fotoğrafı, ön açısından."
dataset/000/0016.jpg,"Bir Honda Civic sedan fotoğrafı, ön açısından."
dataset/000/0018.jpg,"Stüdyo çekimi bir Honda Civic sedan, ön."
dataset/000/0019.jpg,Honda Civic sedan aracının ön görünümü.
dataset/000/0021.jpg,"Bir Honda Civic sedan fotoğrafı, ön-yan açısından."
dataset/000/0022.jpg,"Yüksek çözünürlüklü bir Honda Civic sedan resmi, ön-yan açısından çekilmiş."
dataset/000/0024.jpg,"Yüksek çözünürlüklü bir Honda Civic sedan resmi, ön-yan açısından çekilmiş."
dataset/000/0025.jpg,Honda Civic sedan aracının ön-yan görünümü.
dataset/000/0027.jpg,"Stüdyo çekimi bir Honda Civic sedan, ön-yan."
dataset/000/0028.jpg,"Bu bir Honda Civic sedan, ön-yan perspektifinden."
dataset/000/0030.jpg,"Stüdyo çekimi bir Honda Civic sedan, ön-yan."
dataset/000/0031.jpg,Honda Civic sedan aracının ön-yan görünümü.
dataset/000/0033.jpg,"Bir Honda Civic sedan fotoğrafı, ön-yan açısından."
dataset/000/0034.jpg,Honda Civic sedan aracının ön-yan görünümü.
dataset/000/0036.jpg,Honda Civic sedan aracının ön-yan görünümü.
dataset/000/0037.jpg,"Stüdyo çekimi bir Honda Civic sedan, ön-yan."
dataset/000/0039.jpg,"Bir Honda Civic sedan fotoğrafı, ön-yan açısından."
